timestamp,setup,trigger,tipo,entry,stop,target,uscita,esito,pnl
2026-05-01 10:35:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,722.85,722.3,725.05,722.3,STOP,-0.55
2026-05-05 11:25:00-04:00,ORB_ENGULFING,ENGULFING,LONG,723.48,723.11,724.96,723.11,STOP,-0.37
2026-05-06 10:05:00-04:00,ORB_ENGULFING,ENGULFING,LONG,729.75,728.71,733.91,733.91,TARGET,4.16
2026-05-14 10:10:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,745.51,744.83,748.23,748.23,TARGET,2.72
2026-05-15 10:30:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,742.09,741.06,746.21,741.06,STOP,-1.03
2026-05-18 10:05:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,740.39,738.61,747.51,738.61,STOP,-1.78
2026-05-21 11:10:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,738.93,737.03,746.55,746.55,TARGET,7.62
2026-05-26 09:55:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,750.78,750.09,753.54,750.09,STOP,-0.69
2026-05-29 10:30:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,756.91,756.21,759.71,756.21,STOP,-0.7
2026-06-02 10:30:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,758.55,757.72,761.87,757.72,STOP,-0.83
2026-06-08 11:05:00-04:00,ORB_ENGULFING,ENGULFING,LONG,745.12,744.57,747.32,744.57,STOP,-0.55
2026-06-11 10:35:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,729.13,728.12,733.17,728.12,STOP,-1.01
2026-06-15 10:00:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,753.69,753.07,756.16,753.07,STOP,-0.62
2026-06-22 10:05:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,749.94,749.36,752.26,749.36,STOP,-0.58
2026-06-23 09:45:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,736.38,734.54,743.74,734.54,STOP,-1.84
2026-06-24 10:40:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,737.62,736.16,743.46,736.16,STOP,-1.46
2026-07-01 10:35:00-04:00,ORB_ENGULFING,ENGULFING,LONG,746.92,746.0,750.6,746.0,STOP,-0.92
2026-07-14 10:50:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,751.59,750.47,756.07,750.47,STOP,-1.12
2026-07-16 10:40:00-04:00,ORB_ENGULFING,ENGULFING,LONG,754.37,753.75,756.85,753.75,STOP,-0.62
2026-07-21 10:50:00-04:00,ORB_RETEST,WICK+CLOSE,LONG,746.69,746.5,747.45,746.5,STOP,-0.19
